mental_health,substance_use,telehealth,residential,partial_hospitalization,outpatient,intensive_outpatient,inpatient,cash_payment,medicaid,medicare,private_insurance,tricare,sliding_fee_scale,cbt,dbt,opioid_treatment_program,medication_assisted_treatment,veterans,adolescents,pregnant_postpartum,asl_support,spanish_support,facility_name,program_name,address1,address2,city,state,zip_code,county,phone,website,latitude,longitude,type_facility,full_address,display_name
False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,False,True,True,True,False,True,False,False,Baldpate,Acute Treatment Services,83 Baldpate Road,,Georgetown,MA,01833,Essex,978-352-2131 x139,https://detoxma.com,42.7051611,-71.011216,SU,"83 Baldpate Road, Georgetown, MA 01833",Baldpate — Acute Treatment Services
True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,Bay Cove Treatment Center,,66 Canal Street,,Boston,MA,02114,Suffolk,617-371-3030,https://www.baycovehumanservices.org,42.3636637,-71.059666,SU,"66 Canal Street, Boston, MA 02114",Bay Cove Treatment Center
True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False,Bay State Community Services Inc,,1120 Hancock Street,,Quincy,MA,02169,Norfolk,617-471-8400,https://www.baystatecs.org,42.2544761,-71.0055279,MH,"1120 Hancock Street, Quincy, MA 02169",Bay State Community Services Inc
True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,Beth Israel Deaconess Medical Center,Department of Psychiatry Ambulatory,330 Brookline Avenue,,Boston,MA,02215,Suffolk,617-667-4735,https://www.bidmc.org,42.3396481,-71.1050255,MH,"330 Brookline Avenue, Boston, MA 02215",Beth Israel Deaconess Medical Center — Department of Psychiatry Ambulatory
True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,True,Beth Israel Lahey Health,Salem Clinic,35 Congress Street,"Building 2, Suite 150-B",Salem,MA,01970,Essex,978-968-1700,https://www.bilhbehavioral.org,,,MH,"35 Congress Street, Building 2, Suite 150-B, Salem, MA 01970",Beth Israel Lahey Health — Salem Clinic
False,True,True,False,False,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,Bicycle Health,Telehealth,,,Boston,MA,02111,Suffolk,844-943-2514,https://bicyclehealth.com,,,SU,"Boston, MA 02111",Bicycle Health — Telehealth
False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,Boston Comprehensive Treatment Center,Habit Opco LLC,99 Topeka Street,,Boston,MA,02118,Suffolk,617-442-1499,https://w	www.ctcprograms.com/location/boston-comprehensive-treatment-center/,42.3335633,-71.0664439,SU,"99 Topeka Street, Boston, MA 02118",Boston Comprehensive Treatment Center — Habit Opco LLC
True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,Boston Healthcare for the Homeless Inc,,780 Albany Street,,Boston,MA,02118,Suffolk,857-654-1323,https://www.bhchp.org/,42.333765,-71.073003,MH,"780 Albany Street, Boston, MA 02118",Boston Healthcare for the Homeless Inc
True,True,True,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,True,Boston Medical Center,Office Based Addiction Treatment Progr,801 Massachusetts Avenue,"5th Floor, Suite C",Boston,MA,02118,Suffolk,617-414-7453,https://www.bmc.org/office-based-addiction-treatment-obat,42.3330467,-71.0736404,MH,"801 Massachusetts Avenue, 5th Floor, Suite C, Boston, MA 02118",Boston Medical Center — Office Based Addiction Treatment Progr
False,True,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,Boston Medical Center/Brighton,BMC BCAP,736 Cambridge Street,,Brighton,MA,02135,Suffolk,617-789-3000 x2574,https://www.bmchealthsystem.org/bmc-south/departments,42.3491203,-71.1483793,SU,"736 Cambridge Street, Brighton, MA 02135",Boston Medical Center/Brighton — BMC BCAP
False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True,False,True,Boston Public Health Commission,Entre Familia,209 River Street,Building E,Mattapan,MA,02126,Suffolk,617-534-2922,https://www.bphc.org,42.2720646,-71.078907,SU,"209 River Street, Building E, Mattapan, MA 02126",Boston Public Health Commission — Entre Familia
True,True,False,False,True,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,Bournewood Health Systems,Bournewood Caulfield Center,23 Warren Avenue,Suite 140,Woburn,MA,01801,Middlesex,781-932-0649,https://www.bournewood.com/,42.4755594,-71.154245,MH,"23 Warren Avenue, Suite 140, Woburn, MA 01801",Bournewood Health Systems — Bournewood Caulfield Center
True,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,Brandon Residential Treatment Ctr,,27 Winter Street,,Natick,MA,01760,Middlesex,508-655-6400 x204,https://www.brandonschool.org,42.3193149,-71.3380406,MH,"27 Winter Street, Natick, MA 01760",Brandon Residential Treatment Ctr
True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,False,Bridge and Perinatal BH Programs at,South Weymouth,797 Main Street,,South Weymouth,MA,02190,Norfolk,781-624-5065,https://www.southshorehealth.org,42.1781283,-70.9559682,SU,"797 Main Street, South Weymouth, MA 02190",Bridge and Perinatal BH Programs at — South Weymouth
True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,Bridgewell Counseling Services,Lowell,35 Market Street,,Lowell,MA,01852,Middlesex,978-459-0389,https://www.bridgewell.org,42.6445194,-71.3090821,MH,"35 Market Street, Lowell, MA 01852",Bridgewell Counseling Services — Lowell
True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,Brigham and Womens Faulkner Hospital,,1153 Centre Street,,Jamaica Plain,MA,02130,Suffolk,617-983-7474,https://www.brighamandwomensfaulkner.org/programs-and-services/addiction-recovery-program/default,42.3014851,-71.1282337,MH,"1153 Centre Street, Jamaica Plain, MA 02130",Brigham and Womens Faulkner Hospital
True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,True,False,Brighton Allston Mental Health Assoc,A Program of Italian Home for Children,77 Warren Street,"Building 2, Ground Level",Brighton,MA,02135,Suffolk,617-787-1901 x0,https://www.italianhome.org,42.3484365,-71.1423915,MH,"77 Warren Street, Building 2, Ground Level, Brighton, MA 02135",Brighton Allston Mental Health Assoc — A Program of Italian Home for Children
False,True,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,True,True,Brockton Comprehensive Treatment,Center,180 Centre Street,,Brockton,MA,02302,Plymouth,508-502-7584,https://www.ctcprograms.com/location/brattleboro-comprehensive-treatment-center/,42.0843627,-71.013847,SU,"180 Centre Street, Brockton, MA 02302",Brockton Comprehensive Treatment — Center
False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,True,CASPAR House I,,16 Highland Avenue,,Somerville,MA,02143,Middlesex,617-623-5277,https://www.baycovehumanservices.org/caspar,42.384605,-71.09332,SU,"16 Highland Avenue, Somerville, MA 02143",CASPAR House I
True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,True,CASPAR House I,Mens Recovery Home,16 Highland Avenue,,Somerville,MA,02143,Middlesex,617-623-5277 x351,https://www.baycovehumanservices.org/caspar,42.384605,-71.09332,MH,"16 Highland Avenue, Somerville, MA 02143",CASPAR House I — Mens Recovery Home
False,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,False,False,True,True,CASPAR House II,,3 Summit Avenue,,Somerville,MA,02143,Middlesex,617-623-5277,https://www.baycovehumanservices.org/caspar,42.3838459,-71.0956259,SU,"3 Summit Avenue, Somerville, MA 02143",CASPAR House II
True,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,Cambridge Eating Disorder Center,(CEDC),3 Bow Street,,Cambridge,MA,02138,Middlesex,617-547-2255,https://www.eatingdisordercenter.org,42.3719993,-71.1159555,MH,"3 Bow Street, Cambridge, MA 02138",Cambridge Eating Disorder Center — (CEDC)
True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,True,True,Casa Esperanza Inc,Familias Unidas Outpatient Program,245 Eustis Street,,Roxbury,MA,02119,Suffolk,617-445-1123 x1308,https://www.casaesperanza.org,42.3267786,-71.0751028,MH,"245 Eustis Street, Roxbury, MA 02119",Casa Esperanza Inc — Familias Unidas Outpatient Program
True,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,True,False,True,True,True,Casa Esperanza Inc,Latinas y Ninos Center,263 Eustis Street,,Roxbury,MA,02119,Suffolk,617-445-1123 x321,https://www.casaesperanza.org,42.3264101,-71.074685,SU,"263 Eustis Street, Roxbury, MA 02119",Casa Esperanza Inc — Latinas y Ninos Center
False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,Casa Esperanza Inc,Casa Esperanzas Mens Program,291 Eustis Street,,Boston,MA,02119,Suffolk,617-445-1123,https://www.casaesperanza.org,42.3259943,-71.0738732,SU,"291 Eustis Street, Boston, MA 02119",Casa Esperanza Inc — Casa Esperanzas Mens Program
True,True,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,True,True,Casa Esperanza Inc,Recovery Support Outpatient Services,8 Dunmore Street,,Roxbury,MA,02119,Suffolk,617-445-1123 x1308,https://www.casaesperanza.org,42.3261197,-71.0748853,MH,"8 Dunmore Street, Roxbury, MA 02119",Casa Esperanza Inc — Recovery Support Outpatient Services
True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,Chapters Recovery Center Inc,,85 Constitution Lane,Suite 200-A,Danvers,MA,01923,Essex,978-719-1864,https://Chaptersrecoverycenter.com,42.555348,-70.937544,SU,"85 Constitution Lane, Suite 200-A, Danvers, MA 01923",Chapters Recovery Center Inc
False,True,True,True,False,True,True,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,False,Charles River Recovery LLC,,75 Norumbega Road,,Weston,MA,02493,Middlesex,844-441-0455,https://charlesriverrecovery.com,42.3491697,-71.2619208,SU,"75 Norumbega Road, Weston, MA 02493",Charles River Recovery LLC
False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,Charlestown Recovery Home,,15 Bunker Hill Street,,Charlestown,MA,02129,Suffolk,617-242-0088,https://www.gavinfoundation.org,42.3762129,-71.0562303,SU,"15 Bunker Hill Street, Charlestown, MA 02129",Charlestown Recovery Home
False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,CleanSlate Centers,,170 Main Street,Units G4-G8,Tewksbury,MA,01876,Middlesex,781-348-9041,https://www.cleanslatecenters.com,42.6264451,-71.2678161,SU,"170 Main Street, Units G4-G8, Tewksbury, MA 01876",CleanSlate Centers
False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,CleanSlate Centers,,280 Union Street,Suite 302,Lynn,MA,01901,Essex,781-731-6804,https://cleanslatecenters.com,42.4649639,-70.94325,SU,"280 Union Street, Suite 302, Lynn, MA 01901",CleanSlate Centers
False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,False,CleanSlate Centers,,360 Merrimack Street,"Building 9 Entrance G, 3rd Floor",Lawrence,MA,01843,Essex,978-802-7331,https://www.cleanslatecenters.com,42.7036384,-71.1424002,SU,"360 Merrimack Street, Building 9 Entrance G, 3rd Floor, Lawrence, MA 01843",CleanSlate Centers
True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,Commonwealth Behavioral Health,DBA New Harbor Behavioral Healthcare,,,Dedham,MA,02026,Norfolk,781-532-6424,https://www.newharborbh.com,,,SU,"Dedham, MA 02026",Commonwealth Behavioral Health — DBA New Harbor Behavioral Healthcare
True,True,True,False,False,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,True,Community Clinic,Programs Inc,1304 Commonwealth Avenue,Suite B,Allston,MA,02134,Suffolk,617-482-5292,https://www.communityclinicma.org,42.348368,-71.134129,MH,"1304 Commonwealth Avenue, Suite B, Allston, MA 02134",Community Clinic — Programs Inc
True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,True,True,Community Services Institute,,1100 Washington Street,Suite 206,Dorchester Center,MA,02124,Suffolk,617-325-2993 x217,https://www.communityserv.com,42.273887,-71.06976,MH,"1100 Washington Street, Suite 206, Dorchester Center, MA 02124",Community Services Institute
True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,True,Conexiones Integrated Acute Treatment,Clinical Stabilization Services,365 East Street,Saunders Building,Tewksbury,MA,01876,Middlesex,617-445-1123,https://www.casaesperanza.org,42.6116532,-71.2084272,SU,"365 East Street, Saunders Building, Tewksbury, MA 01876",Conexiones Integrated Acute Treatment — Clinical Stabilization Services
True,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,DBT Works,,575 Virginia Road,"Building 3, Suite 102",Concord,MA,01742,Middlesex,978-440-2168,https://www.dbtworks.com,,,MH,"575 Virginia Road, Building 3, Suite 102, Concord, MA 01742",DBT Works
True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,Department of Mental Health,Brockton Multi Service Center,165 Quincy Street,,Brockton,MA,02302,Plymouth,508-897-2000,https://www.mass.gov/,42.0898323,-70.9911722,MH,"165 Quincy Street, Brockton, MA 02302",Department of Mental Health — Brockton Multi Service Center
False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,True,False,True,True,False,Dimock Center,Dimock Acute Treatment Services,41 Dimock Street,,Roxbury,MA,02119,Suffolk,617-442-8800 x1320,https://www.dimock.org,42.3197542,-71.0965278,SU,"41 Dimock Street, Roxbury, MA 02119",Dimock Center — Dimock Acute Treatment Services
True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,False,True,Dimock Center,Outpatient Addiction and Recovery,45 Dimock Street,,Roxbury,MA,02119,Suffolk,617-442-8800 x1289,https://www.dimock.org,42.3202815,-71.0972241,MH,"45 Dimock Street, Roxbury, MA 02119",Dimock Center — Outpatient Addiction and Recovery
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,Dimock Center,Askia Academy at Dimock,9 Notre Dame Street,,Boston,MA,02119,Suffolk,617-442-8800,https://www.Dimock.org,42.3189224,-71.0967851,SU,"9 Notre Dame Street, Boston, MA 02119",Dimock Center — Askia Academy at Dimock
True,True,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,Dr Solomon Carter Fuller Mental Health,,85 East Newton Street,,Boston,MA,02118,Suffolk,617-626-8700,https://www.departmentofmentalhealth.gov,42.3362574,-71.070829,MH,"85 East Newton Street, Boston, MA 02118",Dr Solomon Carter Fuller Mental Health
False,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,EMH Recovery Inc,Edwina Martin Recovery House,678 North Main Street,,Brockton,MA,02301,Plymouth,508-583-0493,https://www.emhouse.org,42.1005975,-71.0215007,SU,"678 North Main Street, Brockton, MA 02301",EMH Recovery Inc — Edwina Martin Recovery House
False,True,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,East Coast Recovery,,215 Chief Justice Cushing Highway,,Cohasset,MA,02025,Norfolk,781-400-8018,https://www.eastcoastrecovery.com,42.2407926,-70.8305069,SU,"215 Chief Justice Cushing Highway, Cohasset, MA 02025",East Coast Recovery
True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,Edinburg Center Inc,,205 Burlington Road,,Bedford,MA,01730,Middlesex,781-862-3600,https://www.edinburgcenter.org/,42.5018766,-71.237769,MH,"205 Burlington Road, Bedford, MA 01730",Edinburg Center Inc
True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,Eliot Community Human Services,Eliot Centet/Everett,173 Chelsea Street,,Everett,MA,02149,Middlesex,781-388-6200,https://www.eliotchs.org,42.40395,-71.0488018,SU,"173 Chelsea Street, Everett, MA 02149",Eliot Community Human Services — Eliot Centet/Everett
True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,Elm Tree Clinic,,12 Wood Street,Suite 2,Lowell,MA,01851,Middlesex,833-356-8733,https://www.elmtreeclinic.com,42.6344762,-71.3552775,SU,"12 Wood Street, Suite 2, Lowell, MA 01851",Elm Tree Clinic
True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,Elm Tree Clinic,,21 School Street,Suite 1,Quincy,MA,02169,Norfolk,833-356-8733,https://www.elmtreeclinic.com,42.244034,-71.0011522,MH,"21 School Street, Suite 1, Quincy, MA 02169",Elm Tree Clinic
True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,Elm Tree Clinic,,390 Pleasant Street,Suite A,Malden,MA,02148,Middlesex,833-356-8733,https://elmtreeclinic.com,42.4267209,-71.0784324,MH,"390 Pleasant Street, Suite A, Malden, MA 02148",Elm Tree Clinic
False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,Evergreen Behavioral LLC,DBA Woburn Wellness,53 Cummings Park,,Woburn,MA,01801,Middlesex,339-999-2722,https://www.woburnaddictiontreatment.com/,42.4994423,-71.1234551,SU,"53 Cummings Park, Woburn, MA 01801",Evergreen Behavioral LLC — DBA Woburn Wellness
True,True,True,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,Familias Unidas Outpatient Satellite,,302 Eustis Street,,Roxbury,MA,02119,Suffolk,617-445-1123,https://www.casaesperanza.org,42.3259318,-71.0731668,MH,"302 Eustis Street, Roxbury, MA 02119",Familias Unidas Outpatient Satellite
True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,Fathers Uplift Family Group LLC,,12 Southern Avenue,,Dorchester Center,MA,02124,Suffolk,617-708-0870,https://www.fathersuplift.org,42.2906896,-71.0721581,MH,"12 Southern Avenue, Dorchester Center, MA 02124",Fathers Uplift Family Group LLC
True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,Fellside,,,,Medford,MA,02153,Middlesex,781-648-6053,https://www.gouldfarm.org,,,MH,"Medford, MA 02153",Fellside
True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,First Class Behavioral Counseling,,1017 Turnpike Street,Suite 32-A,Canton,MA,02021,Norfolk,781-236-7343,https://www.firstclassbehavioral.com,,,MH,"1017 Turnpike Street, Suite 32-A, Canton, MA 02021",First Class Behavioral Counseling
True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,Forrest Behavioral Health,,4 Preston Court,Unit 101,Bedford,MA,01730,Middlesex,781-570-5781,https://www.forrestbh.com/,42.482756,-71.2638649,MH,"4 Preston Court, Unit 101, Bedford, MA 01730",Forrest Behavioral Health
True,True,True,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,True,Gandara Mental Health Center,Brockton Outpatient Clinic,142 Crescent Street,Suite A,Brockton,MA,02302,Plymouth,508-232-6670 x6701,https://www.gandaracenter.org,42.0814089,-71.0158849,SU,"142 Crescent Street, Suite A, Brockton, MA 02302",Gandara Mental Health Center — Brockton Outpatient Clinic
False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,Gavin Foundation,Eileens House,,,Dorchester Center,MA,02124,Suffolk,857-496-7356,https://www.gavinfoundation.org,,,SU,"Dorchester Center, MA 02124",Gavin Foundation — Eileens House
True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,Gavin Foundation,Center for Recovery Services,210 Old Colony Avenue,,Boston,MA,02127,Suffolk,617-268-5000 x1,https://www.gavinfoundation.org,42.3330016,-71.0537,MH,"210 Old Colony Avenue, Boston, MA 02127",Gavin Foundation — Center for Recovery Services
False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,False,True,True,Gavin Foundation,Gavin House,675 East 4th Street,P.O. Box E-15,Boston,MA,02127,Suffolk,617-268-5517 x308,https://www.gavinfoundation.org,42.3345264,-71.0377516,SU,"675 East 4th Street, P.O. Box E-15, Boston, MA 02127",Gavin Foundation — Gavin House
False,True,True,False,False,True,False,False,True,True,False,True,True,False,True,False,False,False,False,True,False,True,False,Genesis Counseling Services Inc,,24 Union Avenue,Suite 11,Framingham,MA,01702,Middlesex,508-620-2992,https://www.genesiscounselingservices.org,42.2792452,-71.4172572,SU,"24 Union Avenue, Suite 11, Framingham, MA 01702",Genesis Counseling Services Inc
True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,Gosnold Behavioral Health,Stoughton Outpatient,909 Sumner Street,,Stoughton,MA,02072,Plymouth,508-584-5190,https://www.gosnold.org,42.0998396,-71.0819644,MH,"909 Sumner Street, Stoughton, MA 02072",Gosnold Behavioral Health — Stoughton Outpatient
True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,True,False,False,Greater Boston Addiction Center,,322 Reservoir Street,,Needham Heights,MA,02494,Norfolk,877-926-3034,https://www.greaterbostonaddictioncenters.com,42.3069899,-71.2261072,MH,"322 Reservoir Street, Needham Heights, MA 02494",Greater Boston Addiction Center
True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,HRI Hospital,,227 Babcock Street,,Brookline,MA,02446,Norfolk,617-731-3200,https://hrihospital.com,42.3507761,-71.1212243,MH,"227 Babcock Street, Brookline, MA 02446",HRI Hospital
True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,True,True,Hanton House,Co Occurring Enhanced (COE),69 Clinton Street,,Chelsea,MA,02150,Suffolk,866-781-6727,https://northsuffolk.org/addiction-services,42.4017142,-71.0160974,MH,"69 Clinton Street, Chelsea, MA 02150",Hanton House — Co Occurring Enhanced (COE)
False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,Healthcare Resource Centers,,170 Morton Street,,Jamaica Plain,MA,02130,Suffolk,617-541-3670,https://www.hcrcenters.com,42.2992996,-71.1014473,SU,"170 Morton Street, Jamaica Plain, MA 02130",Healthcare Resource Centers
False,True,True,False,False,True,False,False,True,True,True,True,True,False,True,False,True,False,False,False,True,True,True,Healthcare Resource Centers,,172 Newbury Street,,Peabody,MA,01960,Essex,978-535-9190,https://www.hcrcenters.com/health-care-resource-centers-pe,42.5410949,-70.9872094,SU,"172 Newbury Street, Peabody, MA 01960",Healthcare Resource Centers
