"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","mh","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","saca","trc","smon","smpd","smop","hi","res","php","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","fsa","cit","wi","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","sed","smi","alz","ptsd","tbi","ya","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","supem","sh","tpc","tcc","vrs","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","snr","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","fqhc","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanz_fluox","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","fep","aot","msnh","ipsy","shp","vahc","mmd","antpych","mprep","aims","fed","sotp","dea","mhc","samhsa","mhpa","hbt","hct","labt","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Boston Comprehensive Treatment Center","Habit Opco LLC","99 Topeka Street","","Boston","MA","02118","","Suffolk","617-442-1499","https://w	www.ctcprograms.com/location/boston-comprehensive-treatment-center/","42.3335633","-71.0664439","SU","","1","","1","","1","","","1","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","","1","1","1","1","","","","1","","1","1","1","1","1","","","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","","","1","1","1","1","","","1","1","1","","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","1","","1","","1","1","","1","1","1","","1","1","1","","","1","1","","","","","1","","","","","","","1","","","","","","","","","","","","1","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","1","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"North Suffolk Community Services","East Boston Counseling Center","14 Porter Street","","Boston","MA","02128","","Suffolk","866-781-6727","https://www.northsuffolk.org","42.3748077","-71.0380302","SU","","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","1","1","1","1","","","","1","","","","1","1","","1","","","","","","","","","","","","","","1","","","","","1","","","","1","1","","1","1","","","","1","","","","","","","1","1","1","1","1","","1","1","1","1","1","","1","","","","","","1","1","","","1","1","","","","1","1","1","1","1","","","","1","1","","1","","1","1","1","1","1","1","1","","","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","1","1","","","","1","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","1","","","1","","1","1","","","","","","","","","","","1","","1","","","1","",""
"North Suffolk Community Services","East Boston Counseling Center","14 Porter Street","","Boston","MA","02128","","Suffolk","866-781-6727","https://www.northsuffolk.org","42.3748077","-71.0380302","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","","1","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","","1","","1","","","","","","1","1","","1","1","1","1","","","","","","","","","","","1","","","","1","","1","","","","","","","","1","1","","","1","","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","1","1","","","","","","","","","","1","","1","","","","","","","","","","","","","1","","","1","","1","1","","1","","","","","","","","","1","","1","","","1","",""
"Healthcare Resource Centers","","23 Bradston Street","","Boston","MA","02118","","Suffolk","617-318-6480","https://www.hcrcenters.com","42.3330995","-71.0705822","SU","","1","","1","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","1","1","1","1","1","","","","1","","","1","1","1","","1","","","","","","","","1","","","","1","","1","","","","","","","","","","","","1","1","","","","1","","","","","","","","1","1","1","","","","1","1","1","","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","","1","","1","1","1","1","","1","1","","","1","","","","","","1","","1","","","","","1","","","","","","","","","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"Boston Healthcare for the Homeless Inc","","780 Albany Street","","Boston","MA","02118","","Suffolk","857-654-1323","https://www.bhchp.org/","42.333765","-71.073003","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","1","","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","1","","","","","","","","","","","","1","1","1","1","","1","","1","","1","1","1","1","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","1","1","1","1","","","1","","1","","","","","","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","",""
"Gavin Foundation","Gavin House","675 East 4th Street","P.O. Box E-15","Boston","MA","02127","","Suffolk","617-268-5517 x308","https://www.gavinfoundation.org","42.3345264","-71.0377516","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","","1","1","1","1","","","","","","","","","","","1","","","","","1","1","1","1","","","1","1","","","","1","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","","1","1","1","","","1","1","1","1","1","","","1","","","1","1","","","1","","","1","","","1","","","1","1","1","","","","1","1","1","","","","","","1","1","1","1","1","","","1","1","","1","","","","","","","","1","","","1","1","1","","","1","","1","1","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Boston Medical Center","Office Based Addiction Treatment Progr","801 Massachusetts Avenue","5th Floor, Suite C","Boston","MA","02118","","Suffolk","617-414-7453","https://www.bmc.org/office-based-addiction-treatment-obat","42.3330467","-71.0736404","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","1","1","1","1","1","","1","","","1","","1","1","","","","1","1","","","","","1","1","","","","1","","1","","1","","","","1","","1","1","","","","","","1","","1","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","1","","","1","","","","1","","1","","1","","","","","","1","1","","","","","","","","","","1","","1","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boston Medical Center","Office Based Addiction Treatment Progr","801 Massachusetts Avenue","5th Floor, Suite C","Boston","MA","02118","","Suffolk","617-414-7453","https://www.bmc.org/office-based-addiction-treatment-obat","42.3330467","-71.0736404","SU","","1","1","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","1","1","","","1","","","","1","","","","","","","","1","1","1","1","1","","1","","","","","1","1","1","1","1","","","","","","","","","","1","","","","1","1","1","1","","","","","","1","1","","","1","","","","","","","","","1","","","","1","","1","","","","","1","","1","","1","1","","1","1","","","","1","","1","1","1","1","1","","1","1","","","","1","1","1","1","1","1","1","","1","","","","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","","1","","1","","","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","1","1","1","1","","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"North Suffolk Community Services","Meridian House","408 Meridian Street","","Boston","MA","02128","","Suffolk","866-781-6727","https://www.northsuffolk.org","42.3804071","-71.039586","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","","1","","1","","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","","","","1","","","","1","","1","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Suffolk Community Services","Meridian House","408 Meridian Street","","Boston","MA","02128","","Suffolk","866-781-6727","https://www.northsuffolk.org","42.3804071","-71.039586","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","1","1","1","1","","","","1","","","","1","1","","1","","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","1","1","1","","","","1","1","1","1","1","","1","","","1","1","","1","1","","","1","","","","","1","1","1","1","","","","","1","1","","","","1","","1","1","1","1","1","","1","1","1","","","","","","","","","","1","","","1","1","1","","","1","","1","1","1","","","","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hope House Inc","Outpatient","8 Farnham Street","","Roxbury","MA","02119","","Suffolk","617-971-9360","https://www.hopehouseboston.org","42.330597","-71.0745509","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","1","1","1","1","","1","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","1","1","","","","","","1","","","","","","","","1","1","","","1","","","","","1","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Hope House Inc","Co Occurring Enhanced Resid Rehab Serv","8 Famham Street","","Roxbury","MA","02119","","Suffolk","617-971-9360","https://www.hopehouseboston.org","42.330597","-71.0745509","SU","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","1","1","","","1","1","","","","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","1","1","1","","","","1","1","1","","","1","","1","","","","","1","","","1","","","","","1","1","1","1","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","","","","","","","","","","1","","1","","1","1","","","1","","1","1","1","","","","","","1","1","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","",""
"Hope House Inc","Co Occurring Enhanced Resid Rehab Serv","8 Farnham Street","","Roxbury","MA","02119","","Suffolk","617-971-9360","https://www.hopehouseboston.org","42.330597","-71.0745509","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","1","1","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","1","","1","1","","","1","","","","","","1","1","","","","1","","1","","","","1","1","1","1","1","1","","","","1","","","","1","","1","1","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","",""
"Hope House Inc","Recovery Home","8 Farnham Street","","Roxbury","MA","02119","","Suffolk","617-971-9360","https://www.hopehouseboston.org","42.330597","-71.0745509","SU","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","1","1","","","1","1","","","","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","1","1","1","","","","1","1","1","","","1","","1","","","","","1","","","1","","","","","","1","1","1","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","","","","","","","","","","1","","","","1","1","","","1","","1","1","1","","","","","","1","1","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","",""
